links,titles,photo_url
https://www.adoptapet.com/pet/27571788-san-lorenzo-california-husky,"San Lorenzo, CA - Husky. Meet Tikaanni a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/f/d/488551204.jpg
https://www.adoptapet.com/pet/27861997-burlingame-california-american-pit-bull-terrier,"Burlingame, CA - Pit Bull Terrier. Meet Huey a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/3/2/483364493.jpg
https://www.adoptapet.com/pet/28667456-burlingame-california-husky,"Burlingame, CA - Siberian Husky. Meet Jack a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/4/4/488001106.jpg
https://www.adoptapet.com/pet/28833644-burlingame-california-chihuahua,"Burlingame, CA - Chihuahua. Meet Chaparro a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/1/4/491454875.jpg
https://www.adoptapet.com/pet/28903238-burlingame-california-labrador-retriever,"Burlingame, CA - Labrador Retriever. Meet Jewels a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/f/8/493145626.jpg
https://www.adoptapet.com/pet/28935535-burlingame-california-husky,"Burlingame, CA - Husky. Meet Darrow a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/c/a/493789032.jpg
https://www.adoptapet.com/pet/28945908-burlingame-california-chihuahua,"Burlingame, CA - Chihuahua. Meet Shaquita a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/2/7/494290471.jpg
https://www.adoptapet.com/pet/28959999-burlingame-california-chihuahua,"Burlingame, CA - Chihuahua. Meet Teddy a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/3/7/494170634.jpg
https://www.adoptapet.com/pet/27680352-castro-valley-california-australian-terrier,"Castro Valley, CA - Australian Terrier. Meet Trekker a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/3/9/464415629.jpg
https://www.adoptapet.com/pet/27686410-castro-valley-california-,"Castro Valley, CA - Mixed Breed (Small). Meet ECLIPSE a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/9/5/464567357.jpg
https://www.adoptapet.com/pet/28160359-castro-valley-california-dachshund,"Castro Valley, CA - Dachshund. Meet Waffles a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/7/9/476618507.jpg
https://www.adoptapet.com/pet/28167086-castro-valley-california-chihuahua,"Castro Valley, CA - Chihuahua. Meet Flapjack a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/3/1/476787119.jpg
https://www.adoptapet.com/pet/28167135-castro-valley-california-,"Castro Valley, CA - Shepherd (Unknown Type). Meet COWGIRL a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/5/9/476788300.jpg
https://www.adoptapet.com/pet/24635835-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Huey a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/4/c/392976196.jpg
https://www.adoptapet.com/pet/25291351-san-leandro-california-,"San Leandro, CA - Terrier (Unknown Type, Medium). Meet Stanley & Oliver a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/f/e/408642680.jpg
https://www.adoptapet.com/pet/25372962-san-leandro-california-,"San Leandro, CA - Terrier (Unknown Type, Small). Meet Bandit a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/1/9/410460804.jpg
https://www.adoptapet.com/pet/25652730-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Charity a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/3/2/480467987.jpg
https://www.adoptapet.com/pet/27614360-san-leandro-california-miniature-poodle,"San Leandro, CA - Poodle (Miniature). Meet Gershwin a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/5/7/462810321.jpg
https://www.adoptapet.com/pet/27770050-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Dolly a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/b/f/466608113.jpg
https://www.adoptapet.com/pet/27833893-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Carlito a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/3/b/468146505.jpg
https://www.adoptapet.com/pet/27996315-san-leandro-california-cockapoo,"San Leandro, CA - Cockapoo. Meet Honey Bear (Special Needs) a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/8/d/472126078.jpg
https://www.adoptapet.com/pet/28349737-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Chiquito a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/0/e/481234574.jpg
https://www.adoptapet.com/pet/28363001-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Blanca a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/4/d/481520217.jpg
https://www.adoptapet.com/pet/28363264-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Frida a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/a/2/481526470.jpg
https://www.adoptapet.com/pet/28526004-san-leandro-california-chihuahua,"San Leandro, CA - Chihuahua. Meet Hilde a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/2/1/485055499.jpg
https://www.adoptapet.com/pet/27623652-san-ramon-california-shih-tzu,"San Ramon, CA - Shih Tzu. Meet Danny a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/5/5/463056331.jpg
https://www.adoptapet.com/pet/28928350-oakland-california-yorkie-yorkshire-terrier,"Oakland, CA - Yorkie, Yorkshire Terrier. Meet SUMMER a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/c/3/493494012.jpg
https://www.adoptapet.com/pet/20176653-livermore-california-chihuahua,"Livermore, CA - Chihuahua. Meet Rocky a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/5/4/301495719.jpg
https://www.adoptapet.com/pet/20176655-livermore-california-chihuahua,"Livermore, CA - Chihuahua. Meet Duke a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/e/2/301495755.jpg
https://www.adoptapet.com/pet/26060429-livermore-california-american-pit-bull-terrier,"Livermore, CA - Pit Bull Terrier. Meet Celia a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/a/3/432420137.jpg
https://www.adoptapet.com/pet/28380032-livermore-california-rottweiler,"Livermore, CA - Rottweiler. Meet Jax a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/6/0/481903054.jpg
https://www.adoptapet.com/pet/28510660-south-san-francisco-california-american-pit-bull-terrier,"South San Francisco, CA - American Pit Bull Terrier. Meet Friday a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/1/0/484737373.jpg
https://www.adoptapet.com/pet/28875201-south-san-francisco-california-australian-shepherd,"South San Francisco, CA - Australian Shepherd. Meet Luna a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/e/a/493134955.jpg
https://www.adoptapet.com/pet/27833725-alameda-california-chihuahua,"Alameda, CA - Chihuahua. Meet PEPPA a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/2/0/468868236.jpeg
https://www.adoptapet.com/pet/28384567-alameda-california-american-pit-bull-terrier,"Alameda, CA - American Pit Bull Terrier. Meet MOCHA (PANCAKE) a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/d/8/482022881.jpeg
