,links,titles,photo_url
30,https://www.adoptapet.com/pet/29944205-pasadena-california-pomeranian,"Pasadena, CA - Pomeranian. Meet CODY a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/5/4/515642000.jpg
31,https://www.adoptapet.com/pet/29958773-pasadena-california-,"Pasadena, CA - Shepherd (Unknown Type). Meet Max a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/d/f/515969213.jpg
32,https://www.adoptapet.com/pet/29645299-pasadena-california-german-shepherd-dog,"Pasadena, CA - German Shepherd Dog. Meet Rocky a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/a/b/511143342.jpg
33,https://www.adoptapet.com/pet/29830031-san-gabriel-california-german-shepherd-dog,"San Gabriel, CA - German Shepherd Dog. Meet Wayne a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/c/7/513056467.jpg
34,https://www.adoptapet.com/pet/28519555-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Dory a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/e/b/484915192.jpg
35,https://www.adoptapet.com/pet/28519916-los-angeles-california-american-bulldog,"Los Angeles, CA - American Bulldog. Meet Roxy a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/4/4/499270224.jpg
36,https://www.adoptapet.com/pet/28519928-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Medium). Meet Arrow a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/b/a/513324856.jpg
37,https://www.adoptapet.com/pet/28519932-los-angeles-california-german-shepherd-dog,"Los Angeles, CA - German Shepherd Dog. Meet Hesse a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/0/9/513325449.jpg
38,https://www.adoptapet.com/pet/28660737-los-angeles-california-english-bulldog,"Los Angeles, CA - English Bulldog. Meet Cheeks a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/0/5/513327720.jpg
39,https://www.adoptapet.com/pet/29024090-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Moose a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/2/2/513325960.jpg
40,https://www.adoptapet.com/pet/29842563-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Bella a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/1/8/513321286.jpg
41,https://www.adoptapet.com/pet/29842787-los-angeles-california-german-shepherd-dog,"Los Angeles, CA - German Shepherd Dog. Meet Buddy a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/9/1/513323917.jpg
42,https://www.adoptapet.com/pet/29867554-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Oakland a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/2/e/513916607.jpg
43,https://www.adoptapet.com/pet/29885249-los-angeles-california-labrador-retriever,"Los Angeles, CA - Labrador Retriever. Meet Bear a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/1/c/514320266.jpg
44,https://www.adoptapet.com/pet/20038850-los-angeles-california-yorkie-yorkshire-terrier,"Los Angeles, CA - Yorkie, Yorkshire Terrier. Meet Waldo & Ellie a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/4/c/390186848.jpg
45,https://www.adoptapet.com/pet/29676228-la-crescenta-california-cairn-terrier,"La Crescenta, CA - Cairn Terrier. Meet Scout a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/2/b/509650031.jpg
46,https://www.adoptapet.com/pet/29848655-arcadia-california-german-shepherd-dog,"Arcadia, CA - German Shepherd Dog. Meet Guji a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/7/4/513482373.jpg
47,https://www.adoptapet.com/pet/29848939-arcadia-california-german-shepherd-dog,"Arcadia, CA - German Shepherd Dog. Meet Bella a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/e/d/513490009.jpg
48,https://www.adoptapet.com/pet/24182599-glendale-california-american-bulldog,"Glendale, CA - American Bulldog. Meet Norton a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/6/9/382135555.jpg
49,https://www.adoptapet.com/pet/25694357-glendale-california-alaskan-malamute,"Glendale, CA - Alaskan Malamute. Meet Mika a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/9/0/417559310.jpg
50,https://www.adoptapet.com/pet/28287943-los-angeles-california-american-eskimo-dog,"Los Angeles, CA - American Eskimo Dog. Meet Pebbles of West Covina Ca a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/c/7/479802054.jpg
51,https://www.adoptapet.com/pet/16417473-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - American Pit Bull Terrier. Meet Pippi- sweet & mellow a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/7/9/223757987.jpg
52,https://www.adoptapet.com/pet/24727303-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - American Pit Bull Terrier. Meet Noah- great with other dogs! a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/2/d/395214106.jpg
53,https://www.adoptapet.com/pet/26324366-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - American Pit Bull Terrier. Meet Cora- sweet & Loving a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/f/f/477689935.jpg
54,https://www.adoptapet.com/pet/27302121-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Goosie a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/1/1/512141775.jpg
55,https://www.adoptapet.com/pet/28234654-los-angeles-california-dachshund,"Los Angeles, CA - Dachshund. Meet Evander a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/a/4/478519706.jpg
56,https://www.adoptapet.com/pet/29536958-los-angeles-california-labrador-retriever,"Los Angeles, CA - Labrador Retriever. Meet H a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/d/3/506614110.jpg
57,https://www.adoptapet.com/pet/29671504-los-angeles-california-husky,"Los Angeles, CA - Husky. Meet Yusuke a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/a/c/509564267.jpg
58,https://www.adoptapet.com/pet/29719510-los-angeles-california-jack-russell-terrier,"Los Angeles, CA - Jack Russell Terrier. Meet Missy a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/f/9/510550502.jpg
